"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"NEFL",2.26262496075714,0.145805696202532,24.0058748196778,7.24705993526914e-84,2.07845678943519e-80,179.576284016886,"UP"
"MEGF10",0.882531930247621,0.130467299578059,16.5485957854539,7.34092545650204e-49,1.05268871046239e-45,100.168145675201,"UP"
"ALDH3A1",2.12952753096985,0.498654324894515,14.751804254663,8.69077751730738e-41,8.30838330654586e-38,81.8316879256222,"UP"
"CSRP3",2.19925462316733,0.779300316455696,14.515251211141,9.51984283256702e-40,6.82572731095055e-37,79.4706929165209,"UP"
"CA3",1.11035781043224,0.199486603375527,13.807874040293,1.11789782581241e-36,6.41226192885998e-34,72.4994807527212,"UP"
"CORO6",1.14097490757903,0.465476582278481,13.525986322627,1.79532282233744e-35,8.58164309077298e-33,69.7616932168556,"UP"
"HS6ST2",0.715812783965388,-0.00183428270042191,12.1915314330934,6.40185345875921e-30,2.62293081710306e-27,57.159047657732,"UP"
"MYBPC1",1.31508609359717,0.337860021097046,11.989304995985,4.19655825479474e-29,1.50446613434391e-26,55.3063178812417,"UP"
"MYLPF",1.45808127173068,0.622152109704641,11.9086857308761,8.84005666237192e-29,2.81703138974252e-26,54.5722728748761,"UP"
"MYOM3",1.18252977471473,0.401484493670886,11.5807201325379,1.78134873646266e-27,5.1089081761749e-25,51.6137695227485,"UP"
"EDA2R",0.725850603593639,0.146904746835443,10.96769824762,4.31012712815612e-25,1.12376769123198e-22,46.209046434261,"UP"
"ACTN2",1.01407619999613,0.272681434599156,10.6821710147021,5.23890208923435e-24,1.25209759932701e-21,43.7507243515865,"UP"
"RBFOX3",0.674020768238532,0.122078164556962,10.5796491435391,1.27230938608301e-23,2.80691024560467e-21,42.8776189575708,"UP"
"ART3",-0.513988306821002,0.0397266877637131,-10.2985974726985,1.41072196691898e-22,2.88996471508832e-20,40.5108587579029,"DOWN"
"MYBPC2",1.13389231201665,0.439648628691983,9.8224597177798,7.57683367457884e-21,1.44869059857947e-18,36.5941457490887,"UP"
"MB",0.647428652327678,0.297972679324894,9.64840436472592,3.15392788453526e-20,5.65341573302945e-18,35.1926862862769,"UP"
"HSPB6",0.61384950443785,0.114183438818565,9.33323078119846,3.99832148192257e-19,6.74540353538467e-17,32.6979379095083,"UP"
"CD276",0.454961037765491,0.0070221518987342,9.01825892708974,4.782343869761e-18,7.61986789915252e-16,30.2618763127642,"NO"
"NEB",0.560521858662675,0.163287658227848,8.72782102332715,4.47654195169938e-17,6.75722227235464e-15,28.0679525325823,"UP"
