"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"RBFOX3",0.612391304347826,0.39515652173913,3.90521059802926,0.000638390985346086,0.742655225529292,-2.31476335323474,"NO"
"ECI2",0.586471739130435,0.208638043478261,3.78473370254467,0.000867623175869185,0.742655225529292,-2.42559861582208,"NO"
"CCL7",0.667365217391305,0.208576086956522,3.77788761700683,0.000882841482033129,0.742655225529292,-2.4319188240116,"NO"
"MYL6B",0.67584347826087,0.167913043478261,3.70753802433572,0.00105522455977179,0.742655225529292,-2.49698555880349,"NO"
"MEGF10",0.481717391304348,0.218182608695652,3.43553588101719,0.00208978590101462,0.742655225529292,-2.75010347551538,"NO"
"LGMN",0.346423913043478,0.0307532608695652,3.35747468409215,0.00253697429139776,0.742655225529292,-2.82299432995292,"NO"
"DMD",0.438171739130435,0.220570652173913,3.34343790344961,0.00262668543825762,0.742655225529292,-2.83610422842752,"NO"
"CD276",0.4276,0.189208695652174,3.31691331872991,0.00280467331423951,0.742655225529292,-2.8608771101845,"NO"
"PRKCQ",0.352232608695652,-0.0498097826086956,3.30866983548337,0.0028623298081362,0.742655225529292,-2.86857584029057,"NO"
"DTNB",0.513158695652174,0.311833695652174,3.29091398055135,0.00299043989972752,0.742655225529292,-2.88515727223541,"NO"
"ADAM12",0.379273913043478,0.225541304347826,3.27301846138596,0.0031251614751062,0.742655225529292,-2.90186706921912,"NO"
"CAPN3",0.39844347826087,0.122530434782609,3.20167911762471,0.00372286675816056,0.742655225529292,-2.96844445145703,"NO"
"ITGAM",-0.357756521739131,-0.126260869565217,-3.18439778050789,0.00388345418518233,0.742655225529292,-2.9845602299692,"NO"
"NEB",0.356595652173913,0.183182608695652,3.15502674895442,0.00417180451262483,0.742655225529292,-3.01193595645955,"NO"
"LMNB2",0.283182608695652,0.20370652173913,3.14809106119887,0.00424284340003937,0.742655225529292,-3.01839753076404,"NO"
"FGFBP2",-0.434430434782609,-0.0690630434782609,-3.13787611237648,0.00434959214816554,0.742655225529292,-3.02791196833889,"NO"
"EDA2R",0.50795652173913,0.353678260869565,3.12736709387286,0.00446210602609016,0.742655225529292,-3.03769739555179,"NO"
"TEF",0.43384347826087,0.13084347826087,3.1095659381441,0.00465910020194943,0.742655225529292,-3.05426567366264,"NO"
"S100A13",0.267667391304348,0.171394565217391,3.09492226797782,0.00482738600241415,0.742655225529292,-3.06788789305656,"NO"
"CORO6",0.463276086956522,0.245853260869565,3.05869656177567,0.0052691130997643,0.765391315483337,-3.10155560052022,"NO"
