Protein,AUC,Index,Model,T,Onset,Scale,MaxFlag
NEFL,0.794,1,SVM,0.5,_first_onset,,NA
CA3,0.859,2,SVM,0.5,_first_onset,,NA
GFAP,0.891,3,SVM,0.5,_first_onset,,NA
CD38,0.922,4,SVM,0.5,_first_onset,,NA
MYBPC1,0.934,5,SVM,0.5,_first_onset,,NA
MYL3,0.936,6,SVM,0.5,_first_onset,,NA
CAPN3,0.932,7,SVM,0.5,_first_onset,,NA
NDE1,0.931,8,SVM,0.5,_first_onset,,NA
RBP2,0.934,9,SVM,0.5,_first_onset,,NA
CALCA,0.937,10,SVM,0.5,_first_onset,,NA
NGRN,0.94,11,SVM,0.5,_first_onset,,NA
USP28,0.944,12,SVM,0.5,_first_onset,,NA
MSTN,0.944,13,SVM,0.5,_first_onset,,NA
ACTN2,0.944,14,SVM,0.5,_first_onset,,NA
CSRP3,0.945,15,SVM,0.5,_first_onset,,NA
MYL1,0.945,16,SVM,0.5,_first_onset,,NA
MYL11,0.946,17,SVM,0.5,_first_onset,,MAX
TNNC1,0.944,18,SVM,0.5,_first_onset,,NA
MAP4K1,0.944,19,SVM,0.5,_first_onset,,NA
CA14,0.943,20,SVM,0.5,_first_onset,,NA
CALCB,0.941,21,SVM,0.5,_first_onset,,NA
ADAM12,0.942,22,SVM,0.5,_first_onset,,NA
CRTAC1,0.942,23,SVM,0.5,_first_onset,,NA
MEGF10,0.941,24,SVM,0.5,_first_onset,,NA
PPFIA4,0.941,25,SVM,0.5,_first_onset,,NA
MYH9,0.941,26,SVM,0.5,_first_onset,,NA
MMP3,0.941,27,SVM,0.5,_first_onset,,NA
KLK8,0.942,28,SVM,0.5,_first_onset,,NA
CELSR2,0.942,29,SVM,0.5,_first_onset,,NA
DTNB,0.941,30,SVM,0.5,_first_onset,,NA
RGMA,0.94,31,SVM,0.5,_first_onset,,NA
IDI2,0.94,32,SVM,0.5,_first_onset,,NA
ENPP5,0.941,33,SVM,0.5,_first_onset,,NA
PHOSPHO1,0.942,34,SVM,0.5,_first_onset,,NA
PPP6R2,0.941,35,SVM,0.5,_first_onset,,NA
CAP2,0.94,36,SVM,0.5,_first_onset,,NA
IGFBP6,0.938,37,SVM,0.5,_first_onset,,NA
PRKN,0.936,38,SVM,0.5,_first_onset,,NA
MYOC,0.936,39,SVM,0.5,_first_onset,,NA
SDCCAG8,0.936,40,SVM,0.5,_first_onset,,NA
SYNM,0.935,41,SVM,0.5,_first_onset,,NA
FABP3,0.935,42,SVM,0.5,_first_onset,,NA
MELTF,0.934,43,SVM,0.5,_first_onset,,NA
IGFL3,0.933,44,SVM,0.5,_first_onset,,NA
AFAP1L1,0.931,45,SVM,0.5,_first_onset,,NA
ITGB6,0.932,46,SVM,0.5,_first_onset,,NA
CLEC4G,0.932,47,SVM,0.5,_first_onset,,NA
NFAT5,0.932,48,SVM,0.5,_first_onset,,NA
MAP3K5,0.932,49,SVM,0.5,_first_onset,,NA
FABP2,0.931,50,SVM,0.5,_first_onset,,NA
MYBPC2,0.929,51,SVM,0.5,_first_onset,,NA
KISS1,0.929,52,SVM,0.5,_first_onset,,NA
SPINK7,0.927,53,SVM,0.5,_first_onset,,NA
CALCOCO1,0.926,54,SVM,0.5,_first_onset,,NA
STRN,0.926,55,SVM,0.5,_first_onset,,NA
ENDOU,0.924,56,SVM,0.5,_first_onset,,NA
ITGB2,0.923,57,SVM,0.5,_first_onset,,NA
STX4,0.921,58,SVM,0.5,_first_onset,,NA
CD276,0.92,59,SVM,0.5,_first_onset,,NA
FYCO1,0.919,60,SVM,0.5,_first_onset,,NA
RBFOX3,0.919,61,SVM,0.5,_first_onset,,NA
MYOM2,0.918,62,SVM,0.5,_first_onset,,NA
TRAK1,0.917,63,SVM,0.5,_first_onset,,NA
KLK15,0.917,64,SVM,0.5,_first_onset,,NA
HS6ST2,0.916,65,SVM,0.5,_first_onset,,NA
COL6A3,0.915,66,SVM,0.5,_first_onset,,NA
TAX1BP1,0.914,67,SVM,0.5,_first_onset,,NA
IRAG2,0.912,68,SVM,0.5,_first_onset,,NA
TTN,0.91,69,SVM,0.5,_first_onset,,NA
OGN,0.907,70,SVM,0.5,_first_onset,,NA
PPFIA1,0.907,71,SVM,0.5,_first_onset,,NA
MYOM3,0.905,72,SVM,0.5,_first_onset,,NA
MYL5,0.904,73,SVM,0.5,_first_onset,,NA
TNFRSF12A,0.903,74,SVM,0.5,_first_onset,,NA
TRAFD1,0.903,75,SVM,0.5,_first_onset,,NA
COMP,0.903,76,SVM,0.5,_first_onset,,NA
PTGES2,0.902,77,SVM,0.5,_first_onset,,NA
EZR,0.901,78,SVM,0.5,_first_onset,,NA
FGFBP1,0.9,79,SVM,0.5,_first_onset,,NA
PPFIBP1,0.899,80,SVM,0.5,_first_onset,,NA
POSTN,0.898,81,SVM,0.5,_first_onset,,NA
ITGAM,0.896,82,SVM,0.5,_first_onset,,NA
UNC45A,0.895,83,SVM,0.5,_first_onset,,NA
CCN3,0.894,84,SVM,0.5,_first_onset,,NA
PPY,0.893,85,SVM,0.5,_first_onset,,NA
IQGAP2,0.892,86,SVM,0.5,_first_onset,,NA
JCAD,0.891,87,SVM,0.5,_first_onset,,NA
SERPINB8,0.89,88,SVM,0.5,_first_onset,,NA
MTSS1,0.889,89,SVM,0.5,_first_onset,,NA
MPHOSPH9,0.887,90,SVM,0.5,_first_onset,,NA
IFT172,0.886,91,SVM,0.5,_first_onset,,NA
MYH1,0.885,92,SVM,0.5,_first_onset,,NA
EDA2R,0.884,93,SVM,0.5,_first_onset,,NA
SIKE1,0.884,94,SVM,0.5,_first_onset,,NA
ART3,0.882,95,SVM,0.5,_first_onset,,NA
MSANTD3,0.881,96,SVM,0.5,_first_onset,,NA
HSPB6,0.88,97,SVM,0.5,_first_onset,,NA
WASF3,0.879,98,SVM,0.5,_first_onset,,NA
CCK,0.878,99,SVM,0.5,_first_onset,,NA
KIFC3,0.877,100,SVM,0.5,_first_onset,,NA
DMD,0.876,101,SVM,0.5,_first_onset,,NA
DUSP29,0.874,102,SVM,0.5,_first_onset,,NA
ADAMTSL5,0.874,103,SVM,0.5,_first_onset,,NA
EIF2AK3,0.873,104,SVM,0.5,_first_onset,,NA
KLK4,0.872,105,SVM,0.5,_first_onset,,NA
SMTN,0.871,106,SVM,0.5,_first_onset,,NA
APOA4,0.869,107,SVM,0.5,_first_onset,,NA
MOCS3,0.869,108,SVM,0.5,_first_onset,,NA
SAV1,0.868,109,SVM,0.5,_first_onset,,NA
ELAVL4,0.866,110,SVM,0.5,_first_onset,,NA
SORBS1,0.864,111,SVM,0.5,_first_onset,,NA
DCTN2,0.863,112,SVM,0.5,_first_onset,,NA
CORO6,0.861,113,SVM,0.5,_first_onset,,NA
THBS4,0.859,114,SVM,0.5,_first_onset,,NA
MYBPH,0.858,115,SVM,0.5,_first_onset,,NA
PACSIN3,0.857,116,SVM,0.5,_first_onset,,NA
WWP1,0.856,117,SVM,0.5,_first_onset,,NA
TRAF2,0.852,118,SVM,0.5,_first_onset,,NA
EPHA1,0.85,119,SVM,0.5,_first_onset,,NA
IL32,0.848,120,SVM,0.5,_first_onset,,NA
TNNI3,0.847,121,SVM,0.5,_first_onset,,NA
PBXIP1,0.845,122,SVM,0.5,_first_onset,,NA
PDZD2,0.842,123,SVM,0.5,_first_onset,,NA
PRND,0.839,124,SVM,0.5,_first_onset,,NA
GOLGA4,0.837,125,SVM,0.5,_first_onset,,NA
NOS1,0.835,126,SVM,0.5,_first_onset,,NA
ANKRD2,0.833,127,SVM,0.5,_first_onset,,NA
NEB,0.833,128,SVM,0.5,_first_onset,,NA
HPCAL4,0.83,129,SVM,0.5,_first_onset,,NA
ALDH3A1,0.828,130,SVM,0.5,_first_onset,,NA
KRI1,0.825,131,SVM,0.5,_first_onset,,NA
TXLNB,0.821,132,SVM,0.5,_first_onset,,NA
ITGAV,0.819,133,SVM,0.5,_first_onset,,NA
CMYA5,0.816,134,SVM,0.5,_first_onset,,NA
OTUD4,0.812,135,SVM,0.5,_first_onset,,NA
KLHL41,0.809,136,SVM,0.5,_first_onset,,NA
RAD51AP2,0.805,137,SVM,0.5,_first_onset,,NA
NEFL,0.8,1,SVM,1,_first_onset,,NA
CA3,0.867,2,SVM,1,_first_onset,,NA
CALCB,0.892,3,SVM,1,_first_onset,,NA
MMP3,0.906,4,SVM,1,_first_onset,,NA
GFAP,0.919,5,SVM,1,_first_onset,,NA
IDI2,0.93,6,SVM,1,_first_onset,,NA
POSTN,0.933,7,SVM,1,_first_onset,,NA
CCN3,0.931,8,SVM,1,_first_onset,,NA
CELSR2,0.934,9,SVM,1,_first_onset,,NA
MYL3,0.934,10,SVM,1,_first_onset,,NA
KISS1,0.934,11,SVM,1,_first_onset,,NA
MYBPC1,0.937,12,SVM,1,_first_onset,,NA
CSRP3,0.936,13,SVM,1,_first_onset,,NA
FABP3,0.937,14,SVM,1,_first_onset,,NA
CRTAC1,0.936,15,SVM,1,_first_onset,,NA
CD38,0.938,16,SVM,1,_first_onset,,NA
NOS1,0.939,17,SVM,1,_first_onset,,NA
MYL1,0.938,18,SVM,1,_first_onset,,NA
ADAMTSL5,0.941,19,SVM,1,_first_onset,,NA
KLK8,0.942,20,SVM,1,_first_onset,,NA
MEGF10,0.943,21,SVM,1,_first_onset,,MAX
MYOM3,0.942,22,SVM,1,_first_onset,,NA
MYBPH,0.942,23,SVM,1,_first_onset,,NA
COL6A3,0.942,24,SVM,1,_first_onset,,NA
ACTN2,0.94,25,SVM,1,_first_onset,,NA
TTN,0.939,26,SVM,1,_first_onset,,NA
MYOC,0.938,27,SVM,1,_first_onset,,NA
MYOM2,0.936,28,SVM,1,_first_onset,,NA
RGMA,0.935,29,SVM,1,_first_onset,,NA
MTSS1,0.933,30,SVM,1,_first_onset,,NA
DUSP29,0.932,31,SVM,1,_first_onset,,NA
NGRN,0.933,32,SVM,1,_first_onset,,NA
CA14,0.933,33,SVM,1,_first_onset,,NA
NDE1,0.932,34,SVM,1,_first_onset,,NA
OGN,0.932,35,SVM,1,_first_onset,,NA
PDZD2,0.934,36,SVM,1,_first_onset,,NA
HS6ST2,0.933,37,SVM,1,_first_onset,,NA
MYH1,0.931,38,SVM,1,_first_onset,,NA
EDA2R,0.93,39,SVM,1,_first_onset,,NA
SYNM,0.929,40,SVM,1,_first_onset,,NA
EPHA1,0.928,41,SVM,1,_first_onset,,NA
TNFRSF12A,0.927,42,SVM,1,_first_onset,,NA
PPFIA1,0.924,43,SVM,1,_first_onset,,NA
PBXIP1,0.923,44,SVM,1,_first_onset,,NA
FGFBP1,0.921,45,SVM,1,_first_onset,,NA
RBFOX3,0.92,46,SVM,1,_first_onset,,NA
PPY,0.919,47,SVM,1,_first_onset,,NA
CLEC4G,0.92,48,SVM,1,_first_onset,,NA
TNNC1,0.917,49,SVM,1,_first_onset,,NA
CD276,0.917,50,SVM,1,_first_onset,,NA
NEB,0.915,51,SVM,1,_first_onset,,NA
RBP2,0.914,52,SVM,1,_first_onset,,NA
USP28,0.913,53,SVM,1,_first_onset,,NA
ALDH3A1,0.911,54,SVM,1,_first_onset,,NA
KRI1,0.911,55,SVM,1,_first_onset,,NA
DTNB,0.911,56,SVM,1,_first_onset,,NA
IGFBP6,0.91,57,SVM,1,_first_onset,,NA
PRKN,0.909,58,SVM,1,_first_onset,,NA
ITGAM,0.908,59,SVM,1,_first_onset,,NA
ADAM12,0.907,60,SVM,1,_first_onset,,NA
KLK4,0.905,61,SVM,1,_first_onset,,NA
FABP2,0.903,62,SVM,1,_first_onset,,NA
KLK15,0.902,63,SVM,1,_first_onset,,NA
CAPN3,0.901,64,SVM,1,_first_onset,,NA
CALCA,0.9,65,SVM,1,_first_onset,,NA
IFT172,0.899,66,SVM,1,_first_onset,,NA
IGFL3,0.898,67,SVM,1,_first_onset,,NA
PHOSPHO1,0.897,68,SVM,1,_first_onset,,NA
WWP1,0.896,69,SVM,1,_first_onset,,NA
ANKRD2,0.895,70,SVM,1,_first_onset,,NA
TRAK1,0.894,71,SVM,1,_first_onset,,NA
TRAFD1,0.892,72,SVM,1,_first_onset,,NA
PRND,0.891,73,SVM,1,_first_onset,,NA
MAP4K1,0.889,74,SVM,1,_first_onset,,NA
MYL11,0.887,75,SVM,1,_first_onset,,NA
MELTF,0.885,76,SVM,1,_first_onset,,NA
ITGB2,0.884,77,SVM,1,_first_onset,,NA
MOCS3,0.882,78,SVM,1,_first_onset,,NA
COMP,0.881,79,SVM,1,_first_onset,,NA
SPINK7,0.879,80,SVM,1,_first_onset,,NA
KLHL41,0.876,81,SVM,1,_first_onset,,NA
ITGAV,0.874,82,SVM,1,_first_onset,,NA
NFAT5,0.872,83,SVM,1,_first_onset,,NA
IQGAP2,0.87,84,SVM,1,_first_onset,,NA
